name,slug,display_name,bio
"Dr Piotr Balcerowski","dr-piotr-balcerowski","Dr Piotr Balcerowski","Biography for Dr Piotr Balcerowski"
"dr Piotr Balcerowski","dr-piotr-balcerowski","dr Piotr Balcerowski","Biography for dr Piotr Balcerowski"
"Adrian Bochenek","adrian-bochenek","Adrian Bochenek","Biography for Adrian Bochenek"
"Michał Bruszewski","micha-bruszewski","Michał Bruszewski","Biography for Michał Bruszewski"
"Marek Dakowski","marek-dakowski","Marek Dakowski","Biography for Marek Dakowski"
"dr Agnieszka Domańska","dr-agnieszka-domaska","dr Agnieszka Domańska","Biography for dr Agnieszka Domańska"
"Mateusz Feszler","mateusz-feszler","Mateusz Feszler","Biography for Mateusz Feszler"
"{{authorName}}","authorname","{{authorName}}","Biography for {{authorName}}"
"Kamil Giera","kamil-giera","Kamil Giera","Biography for Kamil Giera"
"adw. Grzegorz Górka","adw-grzegorz-grka","adw. Grzegorz Górka","Biography for adw. Grzegorz Górka"
"Piotr Gursztyn","piotr-gursztyn","Piotr Gursztyn","Biography for Piotr Gursztyn"
"Aleksandra Horoszko","aleksandra-horoszko","Aleksandra Horoszko","Biography for Aleksandra Horoszko"
"Kacper Kita","kacper-kita","Kacper Kita","Biography for Kacper Kita"
"Prof. Marek Kochan","prof-marek-kochan","Prof. Marek Kochan","Biography for Prof. Marek Kochan"
"Adw. Oskar Kochman","adw-oskar-kochman","Adw. Oskar Kochman","Biography for Adw. Oskar Kochman"
"Oskar Kochman","oskar-kochman","Oskar Kochman","Biography for Oskar Kochman"
"Dominika Łempicka-Wyszyńska","dominika-empicka-wyszyska","Dominika Łempicka-Wyszyńska","Biography for Dominika Łempicka-Wyszyńska"
"Adw. dr Bartosz Lewandowski","adw-dr-bartosz-lewandowski","Adw. dr Bartosz Lewandowski","Biography for Adw. dr Bartosz Lewandowski"
"Piotr Łuczuk","piotr-uczuk","Piotr Łuczuk","Biography for Piotr Łuczuk"
"dr Michał Masior","dr-micha-masior","dr Michał Masior","Biography for dr Michał Masior"
"dr Adrian Musiał","dr-adrian-musia","dr Adrian Musiał","Biography for dr Adrian Musiał"
"Dr hab. Paweł Okołowski","dr-hab-pawe-okoowski","Dr hab. Paweł Okołowski","Biography for Dr hab. Paweł Okołowski"
"Wojciech Pietr","wojciech-pietr","Wojciech Pietr","Biography for Wojciech Pietr"
"Przemysław Pietrzak LL.M.","przemysaw-pietrzak-llm","Przemysław Pietrzak LL.M.","Biography for Przemysław Pietrzak LL.M."
"Krzysztof Rak","krzysztof-rak","Krzysztof Rak","Biography for Krzysztof Rak"
"dr Mateusz Ratyński","dr-mateusz-ratyski","dr Mateusz Ratyński","Biography for dr Mateusz Ratyński"
"Marcin Rosołowski","marcin-rosoowski","Marcin Rosołowski","Biography for Marcin Rosołowski"
"Tomasz Rowiński","tomasz-rowiski","Tomasz Rowiński","Biography for Tomasz Rowiński"
"Grzegorz Rutke","grzegorz-rutke","Grzegorz Rutke","Biography for Grzegorz Rutke"
"dr Jakub Siemiątkowski","dr-jakub-siemitkowski","dr Jakub Siemiątkowski","Biography for dr Jakub Siemiątkowski"
"Wiktor Świetlik","wiktor-wietlik","Wiktor Świetlik","Biography for Wiktor Świetlik"
"Michał Szymański","micha-szymaski","Michał Szymański","Biography for Michał Szymański"
"Piotr Trąbiński","piotr-trbiski","Piotr Trąbiński","Biography for Piotr Trąbiński"
"Beata Trochanowska","beata-trochanowska","Beata Trochanowska","Biography for Beata Trochanowska"
"Rafał Woś","rafa-wo","Rafał Woś","Biography for Rafał Woś"
"Piotr Balcerowski","piotr-balcerowski","Piotr Balcerowski","Biography for Piotr Balcerowski"
